Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Arabia;Total matches;957
21/03/2026;07:00 UTC;[Age of Empires II];Queen's Clash V: Silver League [Queen's Clash/5/Silver League];Arabia [Arabia];1v1;CharChar [Akr0Ma (page does not exist)] [Australia] [Australia] [Huns] [Huns];<;BlackBaby [Magyars] [Magyars] [Russia] [Russia] [BlackBaby];;Huns;Magyars;Magyars;FALSE;Armenians;19;9;47%;53,93;Arabia;;
21/03/2026;;[Age of Empires II];gamescom LAN 2026 [Gamescom LAN/2026];Arabia [Arabia];1v1;Steve-S [Steve-S (page does not exist)] [Germany] [Germany] [Tatars] [Tatars];>;Ruler [Mongols] [Mongols] [Germany] [Germany] [Ruler (page does not exist)];;Tatars;Mongols;Tatars;FALSE;Aztecs;15;8;53%;54,96;Arabia;;
21/03/2026;;[Age of Empires II];gamescom LAN 2026 [Gamescom LAN/2026];Arabia [Arabia];1v1;Steve-S [Steve-S (page does not exist)] [Germany] [Germany] [Unknown] [Unknown];>;michiliw2 [Unknown] [Unknown] [Germany] [Germany] [Michiliw2 (page does not exist)];;Unknown;Unknown;Unknown;TRUE;Bengalis;13;8;64%;56,37;Arabia;;
21/03/2026;;[Age of Empires II];gamescom LAN 2026 [Gamescom LAN/2026];Arabia [Arabia];1v1;Nartosh [Nartosh (page does not exist)] [Huns] [Huns];<;KeremS [Vietnamese] [Vietnamese] [Germany] [Germany] [KeremS (page does not exist)];;Huns;Vietnamese;Vietnamese;FALSE;Berbers;23;10;43%;52,98;Arabia;;
21/03/2026;;[Age of Empires II];gamescom LAN 2026 [Gamescom LAN/2026];Arabia [Arabia];1v1;Edmund Stoiber [Edmund Stoiber (page does not exist)] [Germany] [Germany] [Teutons] [Teutons];<;shiXo. [Romans] [Romans] [Germany] [Germany] [ShiXo.];;Teutons;Romans;Romans;FALSE;Bohemians;5;2;40%;50,84;Arabia;;
21/03/2026;;[Age of Empires II];gamescom LAN 2026 [Gamescom LAN/2026];Arabia [Arabia];1v1;KeremS [KeremS (page does not exist)] [Germany] [Germany] [Vietnamese] [Vietnamese];<;rain [Lithuanians] [Lithuanians] [Taiwan] [Taiwan] [Rain (page does not exist)];;Vietnamese;Lithuanians;Lithuanians;FALSE;Britons;4;3;75%;53,50;Arabia;;
21/03/2026;;[Age of Empires II];gamescom LAN 2026 [Gamescom LAN/2026];Arabia [Arabia];1v1;rain [Rain (page does not exist)] [Taiwan] [Taiwan] [Mongols] [Mongols];<;shiXo. [Maya] [Maya] [Germany] [Germany] [ShiXo.];;Mongols;Maya;Maya;FALSE;Bulgarians;14;9;64%;57,40;Arabia;;
21/03/2026;;[Age of Empires II];gamescom LAN 2026 [Gamescom LAN/2026];Arabia [Arabia];1v1;Steve-S [Steve-S (page does not exist)] [Germany] [Germany] [Jurchens] [Jurchens];<;shiXo. [Franks] [Franks] [Germany] [Germany] [ShiXo.];;Jurchens;Franks;Franks;FALSE;Burgundians;12;6;50%;53,53;Arabia;;
17/03/2026;22:00 UTC;[Age of Empires II];Queen's Clash V: Silver League [Queen's Clash/5/Silver League];Arabia [Arabia];1v1;KmiCampos [KmiCampos (page does not exist)] [Mexico] [Mexico] [Hindustanis] [Hindustanis];<;Akromita [Japanese] [Japanese] [Argentina] [Argentina] [Akr0Ma (page does not exist)];;Hindustanis;Japanese;Japanese;FALSE;Burmese;6;3;50%;52,11;Arabia;;
16/03/2026;19:00 UTC;[Age of Empires II];The Bastion: Open Qualifier [The Bastion/Open Qualifier];Arabia [Arabia];1v1;Molle [Molle (page does not exist)] [Germany] [Germany] [Malians] [Malians];>;Target331 [Inca] [Inca] [Germany] [Germany] [Target331];;Malians;Inca;Malians;FALSE;Byzantines;50;33;66%;67,42;Arabia;;
