Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Arabia;Total matches;492
02/02/2026;16:40 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;Dr.Kozmonot [Dr.Kozmonot] [Turkey] [Turkey] [Lithuanians] [Lithuanians];<;Dragonstar [Khmer] [Khmer] [India] [India] [The Dragonstar];(G5) [Watch VOD] [Watch VOD];Lithuanians;Khmer;Khmer;FALSE;Armenians;11;5;45%;53,55;Arabia;;
02/02/2026;16:40 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;Dr.Kozmonot [Dr.Kozmonot] [Turkey] [Turkey] [Portuguese] [Portuguese];<;Dragonstar [Shu] [Shu] [India] [India] [The Dragonstar];(G4) [Watch VOD] [Watch VOD];Portuguese;Shu;Shu;FALSE;Aztecs;8;3;38%;44,71;Arabia;;
02/02/2026;16:40 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;Dr.Kozmonot [Dr.Kozmonot] [Turkey] [Turkey] [Burgundians] [Burgundians];<;Dragonstar [Hindustanis] [Hindustanis] [India] [India] [The Dragonstar];(G3) [Watch VOD] [Watch VOD];Burgundians;Hindustanis;Hindustanis;FALSE;Bengalis;8;6;75%;60,84;Arabia;;
02/02/2026;16:40 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;Dr.Kozmonot [Dr.Kozmonot] [Turkey] [Turkey] [Romans] [Romans];>;Dragonstar [Dravidians] [Dravidians] [India] [India] [The Dragonstar];(G2) [Watch VOD] [Watch VOD];Romans;Dravidians;Romans;FALSE;Berbers;12;6;50%;55,36;Arabia;;
02/02/2026;16:40 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;Dr.Kozmonot [Dr.Kozmonot] [Turkey] [Turkey] [Celts] [Celts];<;Dragonstar [Vikings] [Vikings] [India] [India] [The Dragonstar];(G1) [Watch VOD] [Watch VOD];Celts;Vikings;Vikings;FALSE;Bohemians;2;0;0%;0,00;Arabia;;
01/02/2026;15:50 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;DOOMSTER [DOOMSTER] [India] [India] [Khmer] [Khmer];<;Dragonstar [Georgians] [Georgians] [India] [India] [The Dragonstar];(G4) [Watch VOD] [Watch VOD];Khmer;Georgians;Georgians;FALSE;Britons;1;0;0%;0,00;Arabia;;
01/02/2026;15:50 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;DOOMSTER [DOOMSTER] [India] [India] [Koreans] [Koreans];<;Dragonstar [Malay] [Malay] [India] [India] [The Dragonstar];(G3) [Watch VOD] [Watch VOD];Koreans;Malay;Malay;FALSE;Bulgarians;3;1;33%;34,85;Arabia;;
01/02/2026;15:50 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;DOOMSTER [DOOMSTER] [India] [India] [Lithuanians] [Lithuanians];>;Dragonstar [Wu] [Wu] [India] [India] [The Dragonstar];(G2) [Watch VOD] [Watch VOD];Lithuanians;Wu;Lithuanians;FALSE;Burgundians;11;5;45%;53,55;Arabia;;
01/02/2026;15:50 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;DOOMSTER [DOOMSTER] [India] [India] [Aztecs] [Aztecs];<;Dragonstar [Romans] [Romans] [India] [India] [The Dragonstar];(G1) [Watch VOD] [Watch VOD];Aztecs;Romans;Romans;FALSE;Burmese;2;0;0%;0,00;Arabia;;
29/01/2026;17:15 UTC;[Age of Empires II];King of Aravalis [King of Aravalis];Arabia [Arabia];1v1;adduOP [AdduOP (page does not exist)] [India] [India] [Japanese] [Japanese];<;Dr.Kozmonot [Malay] [Malay] [Turkey] [Turkey] [Dr.Kozmonot];(G3) [Watch VOD] [Watch VOD];Japanese;Malay;Malay;FALSE;Byzantines;31;20;65%;68,12;Arabia;;
