Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Coast to Mountain;Total matches;217
05/03/2026;03:00 UTC;[Age of Empires II];Ogazjoker Professional League Champion Division [Ogazjoker Professional League/Champion Division];Coast to Mountain [Coast to Mountain];1v1;Shutazarquay [Shutazarquay (page does not exist)] [Mexico] [Mexico] [Malians] [Malians];<;DarkJosh89 [Mongols] [Mongols] [Chile] [Chile] [DarkJosh89 (page does not exist)];;Malians;Mongols;Mongols;FALSE;Armenians;3;0;0%;0,00;Coast to Mountain;;
04/03/2026;22:00 UTC;[Age of Empires II];Ogazjoker Professional League [Ogazjoker Professional League];Coast to Mountain [Coast to Mountain];1v1;Uzzi [Uzzi] [Mexico] [Mexico] [Berbers] [Berbers];>;Gali [Japanese] [Japanese] [Venezuela] [Venezuela] [Gali (page does not exist)];;Berbers;Japanese;Berbers;FALSE;Aztecs;2;1;50%;52,84;Coast to Mountain;;
01/03/2026;00:30 UTC;[Age of Empires II];Ogazjoker Professional League [Ogazjoker Professional League];Coast to Mountain [Coast to Mountain];1v1;LobodeLaNieve [LobodeLaNieve] [Mexico] [Mexico] [Hindustanis] [Hindustanis];<;Prisma09 [Mongols] [Mongols] [Argentina] [Argentina] [Prisma09];;Hindustanis;Mongols;Mongols;FALSE;Bengalis;5;3;60%;58,67;Coast to Mountain;;
21/02/2026;15:30 UTC;[Age of Empires II];Ogazjoker Professional League Champion Division [Ogazjoker Professional League/Champion Division];Coast to Mountain [Coast to Mountain];1v1;DarkJosh89 [DarkJosh89 (page does not exist)] [Chile] [Chile] [Georgians] [Georgians];<;Felipe besitos ricos [Mongols] [Mongols] [Chile] [Chile] [Felipe besitos ricos (page does not exist)];;Georgians;Mongols;Mongols;FALSE;Berbers;53;27;51%;65,06;Coast to Mountain;;
21/02/2026;02:00 UTC;[Age of Empires II];Ogazjoker Professional League Champion Division [Ogazjoker Professional League/Champion Division];Coast to Mountain [Coast to Mountain];1v1;Felipe besitos ricos [Felipe besitos ricos (page does not exist)] [Chile] [Chile] [Mongols] [Mongols];>;Black Monk [Georgians] [Georgians] [Argentina] [Argentina] [Black Monk (page does not exist)];;Mongols;Georgians;Mongols;FALSE;Bohemians;0;0;0%;0,00;Coast to Mountain;;
15/02/2026;17:30 UTC;[Age of Empires II];Ogazjoker Professional League [Ogazjoker Professional League];Coast to Mountain [Coast to Mountain];1v1;Caguamas [Caguamas (page does not exist)] [Mexico] [Mexico] [Persians] [Persians];<;Gali [Persians] [Persians] [Venezuela] [Venezuela] [Gali (page does not exist)];;Persians;Persians;Persians;TRUE;Britons;0;0;0%;0,00;Coast to Mountain;;
13/02/2026;23:00 UTC;[Age of Empires II];Ogazjoker Professional League [Ogazjoker Professional League];Coast to Mountain [Coast to Mountain];1v1;LobodeLaNieve [LobodeLaNieve] [Mexico] [Mexico] [Malay] [Malay];<;AboKeiTo [Georgians] [Georgians] [Chile] [Chile] [AboKeiTo];;Malay;Georgians;Georgians;FALSE;Bulgarians;4;2;50%;54,54;Coast to Mountain;;
12/02/2026;22:00 UTC;[Age of Empires II];Ogazjoker Professional League Champion Division [Ogazjoker Professional League/Champion Division];Coast to Mountain [Coast to Mountain];1v1;Pain [Pain (page does not exist)] [Chile] [Chile] [Georgians] [Georgians];<;ZARC [Berbers] [Berbers] [Chile] [Chile] [ZARC (page does not exist)];;Georgians;Berbers;Berbers;FALSE;Burgundians;1;0;0%;0,00;Coast to Mountain;;
09/02/2026;01:30 UTC;[Age of Empires II];Ogazjoker Professional League Champion Division [Ogazjoker Professional League/Champion Division];Coast to Mountain [Coast to Mountain];1v1;Jurgen [Jürgen (page does not exist)] [Chile] [Chile] [Malians] [Malians];>;Shutazarquay [Wu] [Wu] [Mexico] [Mexico] [Shutazarquay (page does not exist)];;Malians;Wu;Malians;FALSE;Burmese;6;2;33%;34,12;Coast to Mountain;;
08/02/2026;22:00 UTC;[Age of Empires II];Ogazjoker Professional League Champion Division [Ogazjoker Professional League/Champion Division];Coast to Mountain [Coast to Mountain];1v1;STeVeN [STeVeN (page does not exist)] [Colombia] [Colombia] [Japanese] [Japanese];<;Felipe besitos ricos [Georgians] [Georgians] [Chile] [Chile] [Felipe besitos ricos (page does not exist)];;Japanese;Georgians;Georgians;FALSE;Byzantines;17;9;53%;61,60;Coast to Mountain;;
