Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Coast to Mountain;Total matches;103
27/07/2025;12:00 UTC;[Age of Empires II];LingHe Cup [LingHe Cup];Coast to Mountain [Coast to Mountain];1v1;Z40 [Z40] [Taiwan] [Taiwan] [Lithuanians] [Lithuanians];>;Daniel [Georgians] [Georgians] [United States] [United States] [Daniel];(G3) [Watch VOD] [Watch VOD];Lithuanians;Georgians;Lithuanians;FALSE;Armenians;0;0;0%;0,00;Coast to Mountain;;
21/07/2025;12:00 UTC;[Age of Empires II];LingHe Cup [LingHe Cup];Coast to Mountain [Coast to Mountain];1v1;DuDuZhu [DuDuZhu] [China] [China] [Berbers] [Berbers];<;Sora Kuma [Chinese] [Chinese] [Taiwan] [Taiwan] [Sora Kuma];(G2) [Watch VOD] [Watch VOD];Berbers;Chinese;Chinese;FALSE;Aztecs;1;1;100%;61,56;Coast to Mountain;;
20/07/2025;14:30 UTC;[Age of Empires II];LingHe Cup [LingHe Cup];Coast to Mountain [Coast to Mountain];1v1;StrayDog [StrayDog] [China] [China] [Malians] [Malians];<;Blve [Persians] [Persians] [Taiwan] [Taiwan] [Blve (page does not exist)];(G4) [Watch VOD] [Watch VOD];Malians;Persians;Persians;FALSE;Bengalis;3;1;33%;34,07;Coast to Mountain;;
19/07/2025;12:00 UTC;[Age of Empires II];LingHe Cup [LingHe Cup];Coast to Mountain [Coast to Mountain];1v1;Youpudding [Youpudding] [Taiwan] [Taiwan] [Georgians] [Georgians];>;Rayz [Wu] [Wu] [Taiwan] [Taiwan] [Rayz];(G2) [Watch VOD] [Watch VOD];Georgians;Wu;Georgians;FALSE;Berbers;23;9;39%;50,12;Coast to Mountain;;
16/03/2025;17:50 UTC;[Age of Empires II];The Garrison [The Garrison];Coast to Mountain [Coast to Mountain];1v1;Liereyy [Liereyy] [Austria] [Austria] [Goths] [Goths];<;Hera [Mongols] [Mongols] [Canada] [Canada] [Hera];(G1) [Watch VOD] [Watch VOD];Goths;Mongols;Mongols;FALSE;Bohemians;0;0;0%;0,00;Coast to Mountain;;
15/03/2025;18:05 UTC;[Age of Empires II];The Garrison [The Garrison];Coast to Mountain [Coast to Mountain];1v1;Yo [Yo] [China] [China] [Goths] [Goths];>;Hera [Persians] [Persians] [Canada] [Canada] [Hera];(G3) [Watch VOD] [Watch VOD];Goths;Persians;Goths;FALSE;Britons;0;0;0%;0,00;Coast to Mountain;;
15/03/2025;12:00 UTC;[Age of Empires II];The Garrison [The Garrison];Coast to Mountain [Coast to Mountain];1v1;TaToH [TaToH] [Spain] [Spain] [Persians] [Persians];<;TheViper [Berbers] [Berbers] [Norway] [Norway] [TheViper];(G4) [Watch VOD] [Watch VOD];Persians;Berbers;Berbers;FALSE;Bulgarians;4;2;50%;56,89;Coast to Mountain;;
13/03/2025;19:25 UTC;[Age of Empires II];The Garrison [The Garrison];Coast to Mountain [Coast to Mountain];1v1;TaToH [TaToH] [Spain] [Spain] [Lithuanians] [Lithuanians];<;Hera [Persians] [Persians] [Canada] [Canada] [Hera];(G1) [Watch VOD] [Watch VOD];Lithuanians;Persians;Persians;FALSE;Burgundians;0;0;0%;0,00;Coast to Mountain;;
05/01/2025;22:00 UTC;[Age of Empires II];The Garrison: Qualifier [The Garrison/Qualifier];Coast to Mountain [Coast to Mountain];1v1;Vinchester [Vinchester] [Russia] [Russia] [Berbers] [Berbers];<;Hearttt [Persians] [Persians] [Peru] [Peru] [Hearttt];(G3) [Watch VOD] [Watch VOD];Berbers;Persians;Persians;FALSE;Burmese;2;1;50%;54,69;Coast to Mountain;;
05/01/2025;18:00 UTC;[Age of Empires II];The Garrison: Qualifier [The Garrison/Qualifier];Coast to Mountain [Coast to Mountain];1v1;Mihai06 [Mihai06] [Romania] [Romania] [Mongols] [Mongols];>;KingstoNe [Lithuanians] [Lithuanians] [Mexico] [Mexico] [KingstoNe];(G1) [Watch VOD] [Watch VOD];Mongols;Lithuanians;Mongols;FALSE;Byzantines;3;1;33%;34,07;Coast to Mountain;;
04/01/2025;14:35 UTC;[Age of Empires II];The Garrison: Qualifier [The Garrison/Qualifier];Coast to Mountain [Coast to Mountain];1v1;Daniel [Daniel] [United States] [United States] [Berbers] [Berbers];<;MbL [Persians] [Persians] [Norway] [Norway] [MbL];(G4) [Watch VOD] [Watch VOD];Berbers;Persians;Persians;FALSE;Celts;2;0;0%;0,00;Coast to Mountain;;
11/12/2024;20:00 UTC;[Age of Empires II];T90 Titans League 4: Platinum Replacement Qualifier [T90 Titans League/4/Platinum Replacement Qualifier];Coast to Mountain [Coast to Mountain];1v1;Mihai06 [Mihai06] [Romania] [Romania] [Malians] [Malians];>;Vinchester [Persians] [Persians] [Russia] [Russia] [Vinchester];(G1) [Watch VOD] [Watch VOD];Malians;Persians;Malians;FALSE;Chinese;11;7;64%;71,95;Coast to Mountain;;
11/12/2024;15:00 UTC;[Age of Empires II];T90 Titans League 4: Platinum Replacement Qualifier [T90 Titans League/4/Platinum Replacement Qualifier];Coast to Mountain [Coast to Mountain];1v1;Kasva [Kasva] [Turkey] [Turkey] [Persians] [Persians];<;Vinchester [Berbers] [Berbers] [Russia] [Russia] [Vinchester];(G2) [Watch VOD] [Watch VOD];Persians;Berbers;Berbers;FALSE;Cumans;3;1;33%;34,07;Coast to Mountain;;
