Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Fortified Clearing;Total matches;461
06/03/2026;18:00 UTC;[Age of Empires II];The Chosen Ones 3 [The Chosen Ones/3];Fortified Clearing [Fortified Clearing];1v1;Kingstone [KingstoNe] [Mexico] [Mexico] [Bohemians] [Bohemians];>;Running [Burgundians] [Burgundians] [Germany] [Germany] [Running];;Bohemians;Burgundians;Bohemians;FALSE;Armenians;7;3;43%;52,21;Fortified Clearing;;
24/02/2026;20:30 UTC;[Age of Empires II];The Chosen Ones 3 [The Chosen Ones/3];Fortified Clearing [Fortified Clearing];1v1;Rodrixs [Rodrixs] [Argentina] [Argentina] [Bohemians] [Bohemians];<;Ciskhan [Malay] [Malay] [France] [France] [Ciskhan];;Bohemians;Malay;Malay;FALSE;Aztecs;14;6;43%;53,03;Fortified Clearing;;
23/02/2026;17:00 UTC;[Age of Empires II];The Chosen Ones 3 [The Chosen Ones/3];Fortified Clearing [Fortified Clearing];1v1;ThunderboltX [ThunderboltX] [Bulgaria] [Bulgaria] [Bohemians] [Bohemians];<;NeoZz [Cumans] [Cumans] [France] [France] [NeoZz];;Bohemians;Cumans;Cumans;FALSE;Bengalis;57;27;47%;58,96;Fortified Clearing;;
22/02/2026;17:00 UTC;[Age of Empires II];The Chosen Ones 3 [The Chosen Ones/3];Fortified Clearing [Fortified Clearing];1v1;ThunderboltX [ThunderboltX] [Bulgaria] [Bulgaria] [Turks] [Turks];>;Wean Dinchester [Britons] [Britons] [Austria] [Austria] [Wean Dinchester];;Turks;Britons;Turks;FALSE;Berbers;7;3;43%;52,21;Fortified Clearing;;
20/02/2026;19:00 UTC;[Age of Empires II];The Chosen Ones 3 [The Chosen Ones/3];Fortified Clearing [Fortified Clearing];1v1;Thofou [Thofou (page does not exist)] [Belgium] [Belgium] [Celts] [Celts];<;KingstoNe [Vietnamese] [Vietnamese] [Mexico] [Mexico] [KingstoNe];;Celts;Vietnamese;Vietnamese;FALSE;Bohemians;93;50;54%;67,07;Fortified Clearing;;
17/02/2026;22:00 UTC;[Age of Empires II];The Chosen Ones 3 [The Chosen Ones/3];Fortified Clearing [Fortified Clearing];1v1;Combito [Combito] [Mexico] [Mexico] [Burmese] [Burmese];<;VoNDutcH [Turks] [Turks] [Bulgaria] [Bulgaria] [VoNDutcH (page does not exist)];;Burmese;Turks;Turks;FALSE;Britons;19;10;53%;58,45;Fortified Clearing;;
17/02/2026;13:00 UTC;[Age of Empires II];The Chosen Ones 3 [The Chosen Ones/3];Fortified Clearing [Fortified Clearing];1v1;Thofou [Thofou (page does not exist)] [Belgium] [Belgium] [Poles] [Poles];>;buddybadi [Cumans] [Cumans] [Austria] [Austria] [Buddybadi (page does not exist)];;Poles;Cumans;Poles;FALSE;Bulgarians;2;2;100%;55,68;Fortified Clearing;;
14/02/2026;19:00 UTC;[Age of Empires II];The Chosen Ones 3 [The Chosen Ones/3];Fortified Clearing [Fortified Clearing];1v1;Benanji [Benanji (page does not exist)] [Germany] [Germany] [Wei] [Wei];>;aKaTepBackWards [Turks] [Turks] [Bulgaria] [Bulgaria] [AKaTepBackWards (page does not exist)];;Wei;Turks;Wei;FALSE;Burgundians;149;87;58%;74,71;Fortified Clearing;;
11/02/2026;16:00 UTC;[Age of Empires II];The Chosen Ones 3 [The Chosen Ones/3];Fortified Clearing [Fortified Clearing];1v1;Target331 [Target331] [Germany] [Germany] [Burgundians] [Burgundians];<;Dragonstar [Spanish] [Spanish] [India] [India] [The Dragonstar];;Burgundians;Spanish;Spanish;FALSE;Burmese;28;15;54%;60,79;Fortified Clearing;;
11/02/2026;01:00 UTC;[Age of Empires II];The Chosen Ones 3 [The Chosen Ones/3];Fortified Clearing [Fortified Clearing];1v1;Ozone [Ozone] [Colombia] [Colombia] [Ethiopians] [Ethiopians];>;Ass_Kickerwa [Burmese] [Burmese] [India] [India] [AssKickerwa];;Ethiopians;Burmese;Ethiopians;FALSE;Byzantines;10;3;30%;27,20;Fortified Clearing;;
08/02/2026;12:00 UTC;[Age of Empires II];The Chosen Ones 3 [The Chosen Ones/3];Fortified Clearing [Fortified Clearing];1v1;Wade77 [Wade77 (page does not exist)] [Hong Kong] [Hong Kong] [Cumans] [Cumans];>;OLADUSHEK [Spanish] [Spanish] [Belarus] [Belarus] [OLADUSHEK];;Cumans;Spanish;Cumans;FALSE;Celts;4;1;25%;19,07;Fortified Clearing;;
07/02/2026;14:30 UTC;[Age of Empires II];The Chosen Ones 3 [The Chosen Ones/3];Fortified Clearing [Fortified Clearing];1v1;Ciskhan [Ciskhan] [France] [France] [Bohemians] [Bohemians];>;DuDuZhu [Bohemians] [Bohemians] [China] [China] [DuDuZhu];;Bohemians;Bohemians;Bohemians;TRUE;Chinese;3;1;33%;34,84;Fortified Clearing;;
23/01/2026;17:00 UTC;[Age of Empires II];1v1 HunCup 2025 [1v1 HunCup 2025];Fortified Clearing [Fortified Clearing];1v1;dave_hun [Dave hun] [Hungary] [Hungary] [Bohemians] [Bohemians];<;Sziky [Turks] [Turks] [Hungary] [Hungary] [Sziky];(G7) [Watch VOD] [Watch VOD];Bohemians;Turks;Turks;FALSE;Cumans;40;25;63%;69,35;Fortified Clearing;;
08/12/2025;17:00 UTC;[Age of Empires II];Torneo Nacional Español 2025 [Torneo Nacional Español/2025];Fortified Clearing [Fortified Clearing];1v1;Tomate [Tomate] [Spain] [Spain] [Turks] [Turks];<;m0re [Hindustanis] [Hindustanis] [Spain] [Spain] [M0re];(G6) [Watch VOD] [Watch VOD];Turks;Hindustanis;Hindustanis;FALSE;Dravidians;2;1;50%;51,57;Fortified Clearing;;
07/12/2025;10:00 UTC;[Age of Empires II];Torneo Nacional Español 2025 [Torneo Nacional Español/2025];Fortified Clearing [Fortified Clearing];1v1;12Tirador [12Tirador] [Spain] [Spain] [Burmese] [Burmese];<;PoXoLo [Italians] [Italians] [Spain] [Spain] [PoXoLo];(G1) [Watch VOD] [Watch VOD];Burmese;Italians;Italians;FALSE;Ethiopians;7;4;57%;55,81;Fortified Clearing;;
06/12/2025;13:30 UTC;[Age of Empires II];1v1 HunCup 2025 [1v1 HunCup 2025];Fortified Clearing [Fortified Clearing];1v1;wawa90 [Wawa90 (page does not exist)] [Hungary] [Hungary] [Hindustanis] [Hindustanis];<;overkill [Lithuanians] [Lithuanians] [Hungary] [Hungary] [Overkill (page does not exist)];(G2) [Watch VOD] [Watch VOD];Hindustanis;Lithuanians;Lithuanians;FALSE;Franks;2;2;100%;55,68;Fortified Clearing;;
05/12/2025;18:30 UTC;[Age of Empires II];Torneo Nacional Español 2025 [Torneo Nacional Español/2025];Fortified Clearing [Fortified Clearing];1v1;C3mbrich [C3mbrich] [Spain] [Spain] [Burmese] [Burmese];>;Poxo [Teutons] [Teutons] [Spain] [Spain] [Poxo];;Burmese;Teutons;Burmese;FALSE;Georgians;2;1;50%;51,57;Fortified Clearing;;
04/12/2025;21:00 UTC;[Age of Empires II];Torneo Nacional Español 2025 [Torneo Nacional Español/2025];Fortified Clearing [Fortified Clearing];1v1;Tomate [Tomate] [Spain] [Spain] [Bohemians] [Bohemians];>;Moneimon [Armenians] [Armenians] [Spain] [Spain] [Moneimon];(G2) [Watch VOD] [Watch VOD];Bohemians;Armenians;Bohemians;FALSE;Goths;3;0;0%;0,00;Fortified Clearing;;
02/12/2025;17:00 UTC;[Age of Empires II];Torneo Nacional Español 2025 [Torneo Nacional Español/2025];Fortified Clearing [Fortified Clearing];1v1;C3mbrich [C3mbrich] [Spain] [Spain] [Bengalis] [Bengalis];<;Tomate [Malay] [Malay] [Spain] [Spain] [Tomate];;Bengalis;Malay;Malay;FALSE;Gurjaras;17;9;53%;58,13;Fortified Clearing;;
26/11/2025;10:00 UTC;[Age of Empires II];Torneo Nacional Español 2025 [Torneo Nacional Español/2025];Fortified Clearing [Fortified Clearing];1v1;m0re [M0re] [Spain] [Spain] [Armenians] [Armenians];>;Tomate [Poles] [Poles] [Spain] [Spain] [Tomate];(G2) [Watch VOD] [Watch VOD];Armenians;Poles;Armenians;FALSE;Hindustanis;41;22;54%;62,76;Fortified Clearing;;
24/11/2025;19:30 UTC;[Age of Empires II];1v1 HunCup 2025 [1v1 HunCup 2025];Fortified Clearing [Fortified Clearing];1v1;TheTivadar [TheTivadar (page does not exist)] [Hungary] [Hungary] [Malay] [Malay];<;dave_hun [Hungary] [Hungary] [Dave hun];(G3) [Watch VOD] [Watch VOD];Malay;Hungary;Hungary;FALSE;Huns;2;1;50%;51,57;Fortified Clearing;;
17/11/2025;19:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Fortified Clearing [Fortified Clearing];1v1;3milio [3milio (page does not exist)] [Hungary] [Hungary] [Persians] [Persians];<;TheTivadar [Burgundians] [Burgundians] [Hungary] [Hungary] [TheTivadar (page does not exist)];(G1) [Watch VOD] [Watch VOD];Persians;Burgundians;Burgundians;FALSE;Incas;1;1;100%;52,97;Fortified Clearing;;
17/11/2025;17:30 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Fortified Clearing [Fortified Clearing];1v1;Hrafn_the_Berzerker [Hrafn the Berzerker (page does not exist)] [Hungary] [Hungary] [Saracens] [Saracens];<;wawa90 [Burmese] [Burmese] [Hungary] [Hungary] [Wawa90 (page does not exist)];(G1) [Watch VOD] [Watch VOD];Saracens;Burmese;Burmese;FALSE;Italians;16;7;44%;53,61;Fortified Clearing;;
