Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Fortified Clearing;Total matches;205
23/01/2026;17:00 UTC;[Age of Empires II];1v1 HunCup 2025 [1v1 HunCup 2025];Fortified Clearing [Fortified Clearing];1v1;dave_hun [Dave hun] [Hungary] [Hungary] [Bohemians] [Bohemians];<;Sziky [Turks] [Turks] [Hungary] [Hungary] [Sziky];(G7) [Watch VOD] [Watch VOD];Bohemians;Turks;Turks;FALSE;Armenians;5;2;40%;51,73;Fortified Clearing;;
08/12/2025;17:00 UTC;[Age of Empires II];Torneo Nacional Español 2025 [Torneo Nacional Español/2025];Fortified Clearing [Fortified Clearing];1v1;Tomate [Tomate] [Spain] [Spain] [Turks] [Turks];<;m0re [Hindustanis] [Hindustanis] [Spain] [Spain] [M0re];(G6) [Watch VOD] [Watch VOD];Turks;Hindustanis;Hindustanis;FALSE;Aztecs;5;3;60%;58,99;Fortified Clearing;;
07/12/2025;10:00 UTC;[Age of Empires II];Torneo Nacional Español 2025 [Torneo Nacional Español/2025];Fortified Clearing [Fortified Clearing];1v1;12Tirador [12Tirador] [Spain] [Spain] [Burmese] [Burmese];<;PoXoLo [Italians] [Italians] [Spain] [Spain] [PoXoLo];(G1) [Watch VOD] [Watch VOD];Burmese;Italians;Italians;FALSE;Bengalis;21;9;43%;54,70;Fortified Clearing;;
06/12/2025;13:30 UTC;[Age of Empires II];1v1 HunCup 2025 [1v1 HunCup 2025];Fortified Clearing [Fortified Clearing];1v1;wawa90 [Wawa90 (page does not exist)] [Hungary] [Hungary] [Hindustanis] [Hindustanis];<;overkill [Lithuanians] [Lithuanians] [Hungary] [Hungary] [Overkill (page does not exist)];(G2) [Watch VOD] [Watch VOD];Hindustanis;Lithuanians;Lithuanians;FALSE;Berbers;3;0;0%;0,00;Fortified Clearing;;
04/12/2025;21:00 UTC;[Age of Empires II];Torneo Nacional Español 2025 [Torneo Nacional Español/2025];Fortified Clearing [Fortified Clearing];1v1;Tomate [Tomate] [Spain] [Spain] [Bohemians] [Bohemians];>;Moneimon [Armenians] [Armenians] [Spain] [Spain] [Moneimon];(G2) [Watch VOD] [Watch VOD];Bohemians;Armenians;Bohemians;FALSE;Bohemians;41;21;51%;64,46;Fortified Clearing;;
26/11/2025;10:00 UTC;[Age of Empires II];Torneo Nacional Español 2025 [Torneo Nacional Español/2025];Fortified Clearing [Fortified Clearing];1v1;m0re [M0re] [Spain] [Spain] [Armenians] [Armenians];>;Tomate [Poles] [Poles] [Spain] [Spain] [Tomate];(G2) [Watch VOD] [Watch VOD];Armenians;Poles;Armenians;FALSE;Britons;10;5;50%;57,69;Fortified Clearing;;
24/11/2025;19:30 UTC;[Age of Empires II];1v1 HunCup 2025 [1v1 HunCup 2025];Fortified Clearing [Fortified Clearing];1v1;TheTivadar [TheTivadar (page does not exist)] [Hungary] [Hungary] [Malay] [Malay];<;dave_hun [Hungary] [Hungary] [Dave hun];(G3) [Watch VOD] [Watch VOD];Malay;Hungary;Hungary;FALSE;Bulgarians;1;1;100%;56,32;Fortified Clearing;;
17/11/2025;19:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Fortified Clearing [Fortified Clearing];1v1;3milio [3milio (page does not exist)] [Hungary] [Hungary] [Persians] [Persians];<;TheTivadar [Burgundians] [Burgundians] [Hungary] [Hungary] [TheTivadar (page does not exist)];(G1) [Watch VOD] [Watch VOD];Persians;Burgundians;Burgundians;FALSE;Burgundians;60;39;65%;81,42;Fortified Clearing;;
17/11/2025;17:30 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Fortified Clearing [Fortified Clearing];1v1;Hrafn_the_Berzerker [Hrafn the Berzerker (page does not exist)] [Hungary] [Hungary] [Saracens] [Saracens];<;wawa90 [Burmese] [Burmese] [Hungary] [Hungary] [Wawa90 (page does not exist)];(G1) [Watch VOD] [Watch VOD];Saracens;Burmese;Burmese;FALSE;Burmese;11;6;55%;60,77;Fortified Clearing;;
16/11/2025;16:45 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Fortified Clearing [Fortified Clearing];1v1;Nessius Blaze [Nessius Blaze (page does not exist)] [Hungary] [Hungary] [Slavs] [Slavs];<;peppsi96 [Khmer] [Khmer] [Hungary] [Hungary] [Peppsi96 (page does not exist)];(G1) [Watch VOD] [Watch VOD];Slavs;Khmer;Khmer;FALSE;Byzantines;3;1;33%;34,62;Fortified Clearing;;
