Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Islands;Total matches;683
05/03/2026;03:00 UTC;[Age of Empires II];Ogazjoker Professional League Champion Division [Ogazjoker Professional League/Champion Division];Islands [Islands];1v1;Shutazarquay [Shutazarquay (page does not exist)] [Mexico] [Mexico] [Portuguese] [Portuguese];<;DarkJosh89 [Dravidians] [Dravidians] [Chile] [Chile] [DarkJosh89 (page does not exist)];;Portuguese;Dravidians;Dravidians;FALSE;Armenians;47;36;77%;77,13;Islands;;
04/03/2026;22:00 UTC;[Age of Empires II];Ogazjoker Professional League [Ogazjoker Professional League];Islands [Islands];1v1;Uzzi [Uzzi] [Mexico] [Mexico] [Dravidians] [Dravidians];>;Gali [Italians] [Italians] [Venezuela] [Venezuela] [Gali (page does not exist)];;Dravidians;Italians;Dravidians;FALSE;Aztecs;4;2;50%;52,00;Islands;;
04/03/2026;;[Age of Empires II];Ogazjoker Professional League [Ogazjoker Professional League];Islands [Islands];1v1;Combito [Combito] [Mexico] [Mexico] [Wu] [Wu];<;Uzzi [Vikings] [Vikings] [Mexico] [Mexico] [Uzzi];;Wu;Vikings;Vikings;FALSE;Bengalis;12;7;58%;56,76;Islands;;
27/02/2026;20:00 UTC;[Age of Empires II];Ogazjoker Professional League Champion Division [Ogazjoker Professional League/Champion Division];Islands [Islands];1v1;Pain [Pain (page does not exist)] [Chile] [Chile] [Shu] [Shu];<;IamAlextremo [Japanese] [Japanese] [Mexico] [Mexico] [IamAlextremo];;Shu;Japanese;Japanese;FALSE;Berbers;33;17;52%;58,52;Islands;;
21/02/2026;20:00 UTC;[Age of Empires II];Ogazjoker Professional League Champion Division [Ogazjoker Professional League/Champion Division];Islands [Islands];1v1;IamAlextremo [IamAlextremo] [Mexico] [Mexico] [Dravidians] [Dravidians];>;Niñera de gatitos [Vikings] [Vikings] [Chile] [Chile] [Niñera de gatitos (page does not exist)];;Dravidians;Vikings;Dravidians;FALSE;Bohemians;1;1;100%;52,03;Islands;;
20/02/2026;23:30 UTC;[Age of Empires II];Ogazjoker Professional League Champion Division [Ogazjoker Professional League/Champion Division];Islands [Islands];1v1;Shuffle [Shuffle (page does not exist)] [Chile] [Chile] [Vikings] [Vikings];>;Al3jandr0.magn00 [Italians] [Italians] [Argentina] [Argentina] [Al3jandr0.magn00 (page does not exist)];;Vikings;Italians;Vikings;FALSE;Britons;6;1;17%;8,24;Islands;;
15/02/2026;01:00 UTC;[Age of Empires II];Ogazjoker Professional League [Ogazjoker Professional League];Islands [Islands];1v1;Monoz [Monoz] [Argentina] [Argentina] [Vikings] [Vikings];>;LobodeLaNieve [Dravidians] [Dravidians] [Mexico] [Mexico] [LobodeLaNieve];;Vikings;Dravidians;Vikings;FALSE;Bulgarians;1;0;0%;0,00;Islands;;
09/02/2026;01:30 UTC;[Age of Empires II];Ogazjoker Professional League Champion Division [Ogazjoker Professional League/Champion Division];Islands [Islands];1v1;Jurgen [Jürgen (page does not exist)] [Chile] [Chile] [Koreans] [Koreans];<;Shutazarquay [Italians] [Italians] [Mexico] [Mexico] [Shutazarquay (page does not exist)];;Koreans;Italians;Italians;FALSE;Burgundians;4;3;75%;54,73;Islands;;
30/11/2025;15:00 UTC;[Age of Empires II];Thalassocracy 2 [Thalassocracy/2];Islands [Islands];1v1;Hearttt [Hearttt] [Peru] [Peru] [Shu] [Shu];<;Hera [Vikings] [Vikings] [Canada] [Canada] [Hera];(G1) [Watch VOD] [Watch VOD];Shu;Vikings;Vikings;FALSE;Burmese;5;3;60%;53,72;Islands;;
29/11/2025;17:30 UTC;[Age of Empires II];Thalassocracy 2 [Thalassocracy/2];Islands [Islands];1v1;Hearttt [Hearttt] [Peru] [Peru] [Malay] [Malay];>;Liereyy [Koreans] [Koreans] [Austria] [Austria] [Liereyy];(G1) [Watch VOD] [Watch VOD];Malay;Koreans;Malay;FALSE;Byzantines;70;42;60%;68,65;Islands;;
27/11/2025;17:40 UTC;[Age of Empires II];Thalassocracy 2 [Thalassocracy/2];Islands [Islands];1v1;TaToH [TaToH] [Spain] [Spain] [Italians] [Italians];>;TheViper [Khitans] [Khitans] [Norway] [Norway] [TheViper];(G4) [Watch VOD] [Watch VOD];Italians;Khitans;Italians;FALSE;Celts;7;3;43%;51,77;Islands;;
18/11/2025;18:00 UTC;[Age of Empires II];Thalassocracy 2 [Thalassocracy/2];Islands [Islands];1v1;StonePleaseAoE [StonePleaseAoE] [Germany] [Germany] [Vikings] [Vikings];<;TaToH [Berbers] [Berbers] [Spain] [Spain] [TaToH];(G4) [Watch VOD] [Watch VOD];Vikings;Berbers;Berbers;FALSE;Chinese;6;4;67%;55,37;Islands;;
18/11/2025;16:30 UTC;[Age of Empires II];Thalassocracy 2 [Thalassocracy/2];Islands [Islands];1v1;Sora Kuma [Sora Kuma] [Taiwan] [Taiwan] [Koreans] [Koreans];>;Dark [Saracens] [Saracens] [Russia] [Russia] [Dark];(G4) [Watch VOD] [Watch VOD];Koreans;Saracens;Koreans;FALSE;Cumans;2;0;0%;0,00;Islands;;
18/11/2025;14:00 UTC;[Age of Empires II];Thalassocracy 2 [Thalassocracy/2];Islands [Islands];1v1;Lewis [Lewis] [United Kingdom] [United Kingdom] [Berbers] [Berbers];<;Nicov [Wu] [Wu] [Argentina] [Argentina] [Nicov];(G2) [Watch VOD] [Watch VOD];Berbers;Wu;Wu;FALSE;Dravidians;84;44;52%;63,31;Islands;;
14/11/2025;16:00 UTC;[Age of Empires II];Thalassocracy 2 [Thalassocracy/2];Islands [Islands];1v1;dogao [Dogao] [Brazil] [Brazil] [Shu] [Shu];<;FreakinAndy [Japanese] [Japanese] [Austria] [Austria] [FreakinAndy];;Shu;Japanese;Japanese;FALSE;Ethiopians;1;0;0%;0,00;Islands;;
12/11/2025;18:30 UTC;[Age of Empires II];Thalassocracy 2: Round of 128 & Round of 64 [Thalassocracy/2/Ro128 & Ro64];Islands [Islands];1v1;Uzzi [Uzzi] [Mexico] [Mexico] [Vikings] [Vikings];<;Villese [Italians] [Italians] [Finland] [Finland] [Villese];(G1) [Watch VOD] [Watch VOD];Vikings;Italians;Italians;FALSE;Franks;4;1;25%;19,25;Islands;;
12/11/2025;18:00 UTC;[Age of Empires II];Thalassocracy 2: Round of 128 & Round of 64 [Thalassocracy/2/Ro128 & Ro64];Islands [Islands];1v1;Rodrixs [Rodrixs] [Argentina] [Argentina] [Wu] [Wu];<;Yo [Portuguese] [Portuguese] [China] [China] [Yo];(G1) [Watch VOD] [Watch VOD];Wu;Portuguese;Portuguese;FALSE;Georgians;1;1;100%;52,03;Islands;;
12/11/2025;15:00 UTC;[Age of Empires II];Thalassocracy 2: Round of 128 & Round of 64 [Thalassocracy/2/Ro128 & Ro64];Islands [Islands];1v1;chart [Chart] [Japan] [Japan] [Italians] [Italians];<;StonePleaseAoE [Magyars] [Magyars] [Germany] [Germany] [StonePleaseAoE];;Italians;Magyars;Magyars;FALSE;Goths;0;0;0%;0,00;Islands;;
09/11/2025;18:05 UTC;[Age of Empires II];MEGA LAN 2025: Mexico City [MEGA LAN 2025/Mexico City];Islands [Islands];1v1;Kingstone [KingstoNe] [Mexico] [Mexico] [Saracens] [Saracens];<;dogao [Armenians] [Armenians] [Brazil] [Brazil] [Dogao];(G2) [Watch VOD] [Watch VOD];Saracens;Armenians;Armenians;FALSE;Gurjaras;1;0;0%;0,00;Islands;;
09/11/2025;14:00 UTC;[Age of Empires II];Thalassocracy 2: Round of 128 & Round of 64 [Thalassocracy/2/Ro128 & Ro64];Islands [Islands];1v1;ElNoniro [ElNoniro] [Poland] [Poland] [Vikings] [Vikings];<;Dark [Berbers] [Berbers] [Russia] [Russia] [Dark];;Vikings;Berbers;Berbers;FALSE;Hindustanis;0;0;0%;0,00;Islands;;
08/11/2025;23:40 UTC;[Age of Empires II];MEGA LAN 2025: Mexico City [MEGA LAN 2025/Mexico City];Islands [Islands];1v1;Keno [Keno] [Mexico] [Mexico] [Wu] [Wu];<;Kingstone [Armenians] [Armenians] [Mexico] [Mexico] [KingstoNe];;Wu;Armenians;Armenians;FALSE;Huns;11;3;27%;22,39;Islands;;
08/11/2025;20:45 UTC;[Age of Empires II];MEGA LAN 2025: Mexico City [MEGA LAN 2025/Mexico City];Islands [Islands];1v1;IamAlextremo [IamAlextremo] [Mexico] [Mexico] [Italians] [Italians];<;dogao [Shu] [Shu] [Brazil] [Brazil] [Dogao];(G2) [Watch VOD] [Watch VOD];Italians;Shu;Shu;FALSE;Incas;6;3;50%;52,74;Islands;;
08/11/2025;20:00 UTC;[Age of Empires II];Thalassocracy 2: Round of 128 & Round of 64 [Thalassocracy/2/Ro128 & Ro64];Islands [Islands];1v1;SiMpSoN [SiMpSoN (page does not exist)] [Italy] [Italy] [Byzantines] [Byzantines];<;StonePleaseAoE [Burgundians] [Burgundians] [Germany] [Germany] [StonePleaseAoE];;Byzantines;Burgundians;Burgundians;FALSE;Italians;315;152;48%;64,63;Islands;;
08/11/2025;17:50 UTC;[Age of Empires II];MEGA LAN 2025: Buenos Aires [MEGA LAN 2025/Buenos Aires];Islands [Islands];1v1;deaKer [DeaKer] [Argentina] [Argentina] [Portuguese] [Portuguese];>;Carbo [Saracens] [Saracens] [Argentina] [Argentina] [Carbo];;Portuguese;Saracens;Portuguese;FALSE;Japanese;95;54;57%;67,95;Islands;;
08/11/2025;17:00 UTC;[Age of Empires II];Thalassocracy 2: Round of 128 & Round of 64 [Thalassocracy/2/Ro128 & Ro64];Islands [Islands];1v1;TheKroks [TheKroks (page does not exist)] [Poland] [Poland] [Vikings] [Vikings];>;miguel [Dravidians] [Dravidians] [Brazil] [Brazil] [Miguel];(G2) [Watch VOD] [Watch VOD];Vikings;Dravidians;Vikings;FALSE;Jurchens;0;0;0%;0,00;Islands;;
06/11/2025;20:00 UTC;[Age of Empires II];Thalassocracy 2: Round of 128 & Round of 64 [Thalassocracy/2/Ro128 & Ro64];Islands [Islands];1v1;maxymczech [Maxymczech (page does not exist)] [Czechia] [Czechia] [Teutons] [Teutons];<;Sitaux [Chinese] [Chinese] [France] [France] [Sitaux];;Teutons;Chinese;Chinese;FALSE;Khitans;1;0;0%;0,00;Islands;;
06/11/2025;17:00 UTC;[Age of Empires II];Thalassocracy 2: Round of 128 & Round of 64 [Thalassocracy/2/Ro128 & Ro64];Islands [Islands];1v1;MTExplore [MTExplore (page does not exist)] [Netherlands] [Netherlands] [Koreans] [Koreans];<;Hearttt [Vikings] [Vikings] [Peru] [Peru] [Hearttt];(G1) [Watch VOD] [Watch VOD];Koreans;Vikings;Vikings;FALSE;Khmer;7;2;29%;25,10;Islands;;
06/11/2025;12:00 UTC;[Age of Empires II];Thalassocracy 2: Round of 128 & Round of 64 [Thalassocracy/2/Ro128 & Ro64];Islands [Islands];1v1;Tank20089 [Tank20089 (page does not exist)] [Taiwan] [Taiwan] [Portuguese] [Portuguese];<;Overtaken [Vikings] [Vikings] [Estonia] [Estonia] [Overtaken];;Portuguese;Vikings;Vikings;FALSE;Koreans;38;17;45%;54,95;Islands;;
05/11/2025;16:00 UTC;[Age of Empires II];Thalassocracy 2: Round of 128 & Round of 64 [Thalassocracy/2/Ro128 & Ro64];Islands [Islands];1v1;Nojo [Nojo (page does not exist)] [United States] [United States] [Persians] [Persians];<;Villese [Vikings] [Vikings] [Finland] [Finland] [Villese];(G2) [Watch VOD] [Watch VOD];Persians;Vikings;Vikings;FALSE;Lithuanians;11;6;55%;55,37;Islands;;
05/11/2025;14:00 UTC;[Age of Empires II];Thalassocracy 2: Round of 128 & Round of 64 [Thalassocracy/2/Ro128 & Ro64];Islands [Islands];1v1;El Mikalos [El Mikalos (page does not exist)] [United Kingdom] [United Kingdom] [Vikings] [Vikings];<;Liereyy [Italians] [Italians] [Austria] [Austria] [Liereyy];;Vikings;Italians;Italians;FALSE;Magyars;1;1;100%;52,03;Islands;;
05/11/2025;12:00 UTC;[Age of Empires II];Thalassocracy 2: Round of 128 & Round of 64 [Thalassocracy/2/Ro128 & Ro64];Islands [Islands];1v1;Nephthys123 [Nephthys123 (page does not exist)] [United Kingdom] [United Kingdom] [Berbers] [Berbers];<;Vinchester [Persians] [Persians] [Russia] [Russia] [Vinchester];;Berbers;Persians;Persians;FALSE;Malay;47;18;38%;46,73;Islands;;
05/11/2025;11:00 UTC;[Age of Empires II];Thalassocracy 2: Round of 128 & Round of 64 [Thalassocracy/2/Ro128 & Ro64];Islands [Islands];1v1;OLADUSHEK [OLADUSHEK] [Belarus] [Belarus] [Persians] [Persians];<;chart [Dravidians] [Dravidians] [Japan] [Japan] [Chart];;Persians;Dravidians;Dravidians;FALSE;Malians;13;6;46%;53,47;Islands;;
04/11/2025;20:00 UTC;[Age of Empires II];Thalassocracy 2: Round of 128 & Round of 64 [Thalassocracy/2/Ro128 & Ro64];Islands [Islands];1v1;IamAlextremo [IamAlextremo] [Mexico] [Mexico] [Dravidians] [Dravidians];<;Valas [Vikings] [Vikings] [Finland] [Finland] [Valas];;Dravidians;Vikings;Vikings;FALSE;Mapuche;0;0;0%;0,00;Islands;;
04/11/2025;19:30 UTC;[Age of Empires II];Thalassocracy 2: Round of 128 & Round of 64 [Thalassocracy/2/Ro128 & Ro64];Islands [Islands];1v1;MrOsoVC8 [MrOsoVC8] [Mexico] [Mexico] [Vikings] [Vikings];<;Ganji [Shu] [Shu] [Sweden] [Sweden] [Ganji];;Vikings;Shu;Shu;FALSE;Mayans;3;0;0%;0,00;Islands;;
04/11/2025;17:00 UTC;[Age of Empires II];Thalassocracy 2: Round of 128 & Round of 64 [Thalassocracy/2/Ro128 & Ro64];Islands [Islands];1v1;yomi [Yomi (page does not exist)] [Japan] [Japan] [Saracens] [Saracens];<;Terz [Dravidians] [Dravidians] [Germany] [Germany] [Terz];;Saracens;Dravidians;Dravidians;FALSE;Mongols;13;5;38%;47,29;Islands;;
12/10/2025;03:00 UTC;[Age of Empires II];MEGA LAN 2025: Mexico City [MEGA LAN 2025/Mexico City];Islands [Islands];1v1;Argo [Argo (page does not exist)] [Mexico] [Mexico] [Italians] [Italians];<;Uzzi [Armenians] [Armenians] [Mexico] [Mexico] [Uzzi];;Italians;Armenians;Armenians;FALSE;Muisca;0;0;0%;0,00;Islands;;
11/10/2025;01:00 UTC;[Age of Empires II];MEGA LAN 2025: Mexico City [MEGA LAN 2025/Mexico City];Islands [Islands];1v1;Moon [Moon (page does not exist)] [Mexico] [Mexico] [Japanese] [Japanese];<;SiNisTeR [Armenians] [Armenians] [Mexico] [Mexico] [SiNisTeR (page does not exist)];;Japanese;Armenians;Armenians;FALSE;Persians;40;23;58%;63,08;Islands;;
09/10/2025;03:30 UTC;[Age of Empires II];MEGA LAN 2025: Buenos Aires [MEGA LAN 2025/Buenos Aires];Islands [Islands];1v1;Nuñez Knight [NunezKnight] [Argentina] [Argentina] [Italians] [Italians];<;Prisma09 [Persians] [Persians] [Argentina] [Argentina] [Prisma09];;Italians;Persians;Persians;FALSE;Poles;2;1;50%;51,12;Islands;;
12/07/2025;13:00 UTC;[Age of Empires II];AoC Classic 2025 [AoC Classic 2025];Islands [Islands];1v1;chart [Chart] [Japan] [Japan] [Persians] [Persians];<;TaToH [Koreans] [Koreans] [Spain] [Spain] [TaToH];(G3) [Watch VOD] [Watch VOD];Persians;Koreans;Koreans;FALSE;Portuguese;138;66;48%;61,06;Islands;;
11/07/2025;13:00 UTC;[Age of Empires II];AoC Classic 2025 [AoC Classic 2025];Islands [Islands];1v1;Margougou [Margougou] [France] [France] [Dravidians] [Dravidians];<;Chart [Romans] [Romans] [Japan] [Japan] [Chart];(G4) [Watch VOD] [Watch VOD];Dravidians;Romans;Romans;FALSE;Puru;0;0;0%;0,00;Islands;;
07/07/2025;18:00 UTC;[Age of Empires II];AoC Classic 2025 [AoC Classic 2025];Islands [Islands];1v1;Monoz [Monoz] [Argentina] [Argentina] [Japanese] [Japanese];<;classicpro [Vikings] [Vikings] [Ukraine] [Ukraine] [Classicpro];;Japanese;Vikings;Vikings;FALSE;Romans;2;2;100%;53,94;Islands;;
