Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Islands;Total matches;184
30/11/2025;15:00 UTC;[Age of Empires II];Thalassocracy 2 [Thalassocracy/2];Islands [Islands];1v1;Hearttt [Hearttt] [Peru] [Peru] [Shu] [Shu];<;Hera [Vikings] [Vikings] [Canada] [Canada] [Hera];(G1) [Watch VOD] [Watch VOD];Shu;Vikings;Vikings;FALSE;Armenians;7;6;86%;74,35;Islands;;
29/11/2025;17:30 UTC;[Age of Empires II];Thalassocracy 2 [Thalassocracy/2];Islands [Islands];1v1;Hearttt [Hearttt] [Peru] [Peru] [Malay] [Malay];>;Liereyy [Koreans] [Koreans] [Austria] [Austria] [Liereyy];(G1) [Watch VOD] [Watch VOD];Malay;Koreans;Malay;FALSE;Aztecs;2;1;50%;53,20;Islands;;
27/11/2025;17:40 UTC;[Age of Empires II];Thalassocracy 2 [Thalassocracy/2];Islands [Islands];1v1;TaToH [TaToH] [Spain] [Spain] [Italians] [Italians];>;TheViper [Khitans] [Khitans] [Norway] [Norway] [TheViper];(G4) [Watch VOD] [Watch VOD];Italians;Khitans;Italians;FALSE;Bengalis;1;1;100%;56,97;Islands;;
18/11/2025;18:00 UTC;[Age of Empires II];Thalassocracy 2 [Thalassocracy/2];Islands [Islands];1v1;StonePleaseAoE [StonePleaseAoE] [Germany] [Germany] [Vikings] [Vikings];<;TaToH [Berbers] [Berbers] [Spain] [Spain] [TaToH];(G4) [Watch VOD] [Watch VOD];Vikings;Berbers;Berbers;FALSE;Berbers;10;7;70%;70,19;Islands;;
18/11/2025;16:30 UTC;[Age of Empires II];Thalassocracy 2 [Thalassocracy/2];Islands [Islands];1v1;Sora Kuma [Sora Kuma] [Taiwan] [Taiwan] [Koreans] [Koreans];>;Dark [Saracens] [Saracens] [Russia] [Russia] [Dark];(G4) [Watch VOD] [Watch VOD];Koreans;Saracens;Koreans;FALSE;Bohemians;0;0;0%;0,00;Islands;;
18/11/2025;14:00 UTC;[Age of Empires II];Thalassocracy 2 [Thalassocracy/2];Islands [Islands];1v1;Lewis [Lewis] [United Kingdom] [United Kingdom] [Berbers] [Berbers];<;Nicov [Wu] [Wu] [Argentina] [Argentina] [Nicov];(G2) [Watch VOD] [Watch VOD];Berbers;Wu;Wu;FALSE;Britons;3;1;33%;34,55;Islands;;
12/11/2025;18:30 UTC;[Age of Empires II];Thalassocracy 2: Round of 128 & Round of 64 [Thalassocracy/2/Ro128 & Ro64];Islands [Islands];1v1;Uzzi [Uzzi] [Mexico] [Mexico] [Vikings] [Vikings];<;Villese [Italians] [Italians] [Finland] [Finland] [Villese];(G1) [Watch VOD] [Watch VOD];Vikings;Italians;Italians;FALSE;Bulgarians;0;0;0%;0,00;Islands;;
12/11/2025;18:00 UTC;[Age of Empires II];Thalassocracy 2: Round of 128 & Round of 64 [Thalassocracy/2/Ro128 & Ro64];Islands [Islands];1v1;Rodrixs [Rodrixs] [Argentina] [Argentina] [Wu] [Wu];<;Yo [Portuguese] [Portuguese] [China] [China] [Yo];(G1) [Watch VOD] [Watch VOD];Wu;Portuguese;Portuguese;FALSE;Burgundians;1;1;100%;56,97;Islands;;
09/11/2025;18:05 UTC;[Age of Empires II];MEGA LAN 2025: Mexico City [MEGA LAN 2025/Mexico City];Islands [Islands];1v1;Kingstone [KingstoNe] [Mexico] [Mexico] [Saracens] [Saracens];<;dogao [Armenians] [Armenians] [Brazil] [Brazil] [Dogao];(G2) [Watch VOD] [Watch VOD];Saracens;Armenians;Armenians;FALSE;Burmese;0;0;0%;0,00;Islands;;
08/11/2025;20:45 UTC;[Age of Empires II];MEGA LAN 2025: Mexico City [MEGA LAN 2025/Mexico City];Islands [Islands];1v1;IamAlextremo [IamAlextremo] [Mexico] [Mexico] [Italians] [Italians];<;dogao [Shu] [Shu] [Brazil] [Brazil] [Dogao];(G2) [Watch VOD] [Watch VOD];Italians;Shu;Shu;FALSE;Byzantines;7;3;43%;53,31;Islands;;
