Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Kawasan;Total matches;795
12/02/2026;20:00 UTC;[Age of Empires II];Svenska Age-Ligan Spring 2026: Elitserien [Svenska Age-Ligan/2026/Spring];Kawasan [Kawasan];1v1;BuLLeT [BuLLeT] [Sweden] [Sweden] [Byzantines] [Byzantines];>;Goatmeister [Malay] [Malay] [Sweden] [Sweden] [Goatmeister (page does not exist)];;Byzantines;Malay;Byzantines;FALSE;Armenians;5;3;60%;53,28;Kawasan;;
10/02/2026;19:00 UTC;[Age of Empires II];Svenska Age-Ligan Spring 2026: Elitserien [Svenska Age-Ligan/2026/Spring];Kawasan [Kawasan];1v1;BuLLeT [BuLLeT] [Sweden] [Sweden] [Dravidians] [Dravidians];>;mratin [Burmese] [Burmese] [Sweden] [Sweden] [Mratin];;Dravidians;Burmese;Dravidians;FALSE;Aztecs;50;23;46%;56,01;Kawasan;;
14/12/2025;09:00 UTC;[Age of Empires II];1v1 HunCup 2025 [1v1 HunCup 2025];Kawasan [Kawasan];1v1;Rideg [Rideg] [Hungary] [Hungary] [Magyars] [Magyars];<;Sziky [Persians] [Persians] [Hungary] [Hungary] [Sziky];;Magyars;Persians;Persians;FALSE;Bengalis;19;10;53%;56,24;Kawasan;;
12/12/2025;18:00 UTC;[Age of Empires II];1v1 HunCup 2025 [1v1 HunCup 2025];Kawasan [Kawasan];1v1;Latig [Latig (page does not exist)] [Hungary] [Hungary] [Byzantines] [Byzantines];<;dave_hun [Dravidians] [Dravidians] [Hungary] [Hungary] [Dave hun];(G1) [Watch VOD] [Watch VOD];Byzantines;Dravidians;Dravidians;FALSE;Berbers;30;13;42%;53,53;Kawasan;;
06/12/2025;20:00 UTC;[Age of Empires II];1v1 HunCup 2025 [1v1 HunCup 2025];Kawasan [Kawasan];1v1;SchleK [SchleK (page does not exist)] [Hungary] [Hungary] [Byzantines] [Byzantines];<;rosso [Japanese] [Japanese] [Hungary] [Hungary] [Rosso (page does not exist)];(G3) [Watch VOD] [Watch VOD];Byzantines;Japanese;Japanese;FALSE;Bohemians;5;2;40%;50,95;Kawasan;;
18/11/2025;18:30 UTC;[Age of Empires II];Svenska Age-Ligan Fall 2025: Elitserien [Svenska Age-Ligan/2025/Fall];Kawasan [Kawasan];1v1;Goatmeister [Goatmeister (page does not exist)] [Sweden] [Sweden] [Japanese] [Japanese];<;Kaeften [Persians] [Persians] [Sweden] [Sweden] [Kaeften (page does not exist)];;Japanese;Persians;Persians;FALSE;Britons;9;5;57%;54,38;Kawasan;;
17/11/2025;17:30 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;Hrafn_the_Berzerker [Hrafn the Berzerker (page does not exist)] [Hungary] [Hungary] [Byzantines] [Byzantines];>;wawa90 [Aztecs] [Aztecs] [Hungary] [Hungary] [Wawa90 (page does not exist)];(G2) [Watch VOD] [Watch VOD];Byzantines;Aztecs;Byzantines;FALSE;Bulgarians;8;4;50%;53,02;Kawasan;;
16/11/2025;20:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;Koiponty [Koiponty (page does not exist)] [Hungary] [Hungary] [Portuguese] [Portuguese];<;SchleK [Byzantines] [Byzantines] [Hungary] [Hungary] [SchleK (page does not exist)];(G3) [Watch VOD] [Watch VOD];Portuguese;Byzantines;Byzantines;FALSE;Burgundians;2;0;0%;0,00;Kawasan;;
14/11/2025;20:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;Adel [Adel (page does not exist)] [Hungary] [Hungary] [Burmese] [Burmese];<;Lui [Lithuanians] [Lithuanians] [Hungary] [Hungary] [Lui (page does not exist)];(G1) [Watch VOD] [Watch VOD];Burmese;Lithuanians;Lithuanians;FALSE;Burmese;8;2;25%;18,98;Kawasan;;
10/11/2025;19:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;FishWithoutMercy [FishWithoutMercy (page does not exist)] [Hungary] [Hungary] [Franks] [Franks];<;Rideg [Mongols] [Mongols] [Hungary] [Hungary] [Rideg];(G1) [Watch VOD] [Watch VOD];Franks;Mongols;Mongols;FALSE;Byzantines;150;78;52%;64,97;Kawasan;;
