Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Kawasan;Total matches;202
12/12/2025;18:00 UTC;[Age of Empires II];1v1 HunCup 2025 [1v1 HunCup 2025];Kawasan [Kawasan];1v1;Latig [Latig (page does not exist)] [Hungary] [Hungary] [Byzantines] [Byzantines];<;dave_hun [Dravidians] [Dravidians] [Hungary] [Hungary] [Dave hun];(G1) [Watch VOD] [Watch VOD];Byzantines;Dravidians;Dravidians;FALSE;Armenians;1;0;0%;0,00;Kawasan;;
06/12/2025;20:00 UTC;[Age of Empires II];1v1 HunCup 2025 [1v1 HunCup 2025];Kawasan [Kawasan];1v1;SchleK [SchleK (page does not exist)] [Hungary] [Hungary] [Byzantines] [Byzantines];<;rosso [Japanese] [Japanese] [Hungary] [Hungary] [Rosso (page does not exist)];(G3) [Watch VOD] [Watch VOD];Byzantines;Japanese;Japanese;FALSE;Aztecs;14;7;50%;58,99;Kawasan;;
17/11/2025;17:30 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;Hrafn_the_Berzerker [Hrafn the Berzerker (page does not exist)] [Hungary] [Hungary] [Byzantines] [Byzantines];>;wawa90 [Aztecs] [Aztecs] [Hungary] [Hungary] [Wawa90 (page does not exist)];(G2) [Watch VOD] [Watch VOD];Byzantines;Aztecs;Byzantines;FALSE;Bengalis;3;2;67%;58,07;Kawasan;;
16/11/2025;20:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;Koiponty [Koiponty (page does not exist)] [Hungary] [Hungary] [Portuguese] [Portuguese];<;SchleK [Byzantines] [Byzantines] [Hungary] [Hungary] [SchleK (page does not exist)];(G3) [Watch VOD] [Watch VOD];Portuguese;Byzantines;Byzantines;FALSE;Berbers;13;7;54%;61,25;Kawasan;;
14/11/2025;20:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;Adel [Adel (page does not exist)] [Hungary] [Hungary] [Burmese] [Burmese];<;Lui [Lithuanians] [Lithuanians] [Hungary] [Hungary] [Lui (page does not exist)];(G1) [Watch VOD] [Watch VOD];Burmese;Lithuanians;Lithuanians;FALSE;Bohemians;0;0;0%;0,00;Kawasan;;
10/11/2025;19:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;FishWithoutMercy [FishWithoutMercy (page does not exist)] [Hungary] [Hungary] [Franks] [Franks];<;Rideg [Mongols] [Mongols] [Hungary] [Hungary] [Rideg];(G1) [Watch VOD] [Watch VOD];Franks;Mongols;Mongols;FALSE;Britons;2;1;50%;52,99;Kawasan;;
09/11/2025;20:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;Marty McFly [Marty McFly (page does not exist)] [Slovakia] [Slovakia] [Ethiopians] [Ethiopians];<;Latig [Franks] [Franks] [Hungary] [Hungary] [Latig (page does not exist)];(G1) [Watch VOD] [Watch VOD];Ethiopians;Franks;Franks;FALSE;Bulgarians;2;1;50%;52,99;Kawasan;;
09/11/2025;18:05 UTC;[Age of Empires II];MEGA LAN 2025: Mexico City [MEGA LAN 2025/Mexico City];Kawasan [Kawasan];1v1;Kingstone [KingstoNe] [Mexico] [Mexico] [Mongols] [Mongols];>;dogao [Japanese] [Japanese] [Brazil] [Brazil] [Dogao];(G4) [Watch VOD] [Watch VOD];Mongols;Japanese;Mongols;FALSE;Burgundians;1;0;0%;0,00;Kawasan;;
07/11/2025;17:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;SchleK [SchleK (page does not exist)] [Hungary] [Hungary] [Byzantines] [Byzantines];>;Salytmacska [Lithuanians] [Lithuanians] [Hungary] [Hungary] [Salytmacska (page does not exist)];(G1) [Watch VOD] [Watch VOD];Byzantines;Lithuanians;Byzantines;FALSE;Burmese;3;2;67%;58,07;Kawasan;;
29/10/2025;19:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;Koiponty [Koiponty (page does not exist)] [Hungary] [Hungary] [Bulgarians] [Bulgarians];<;John [Mayans] [Mayans] [Hungary] [Hungary] [John];(G3) [Watch VOD] [Watch VOD];Bulgarians;Mayans;Mayans;FALSE;Byzantines;36;18;50%;62,75;Kawasan;;
28/10/2025;19:00 UTC;[Age of Empires II];1v1 HunCup 2025: Swiss Stage [1v1 HunCup 2025/Swiss Stage];Kawasan [Kawasan];1v1;Att_os [Att os (page does not exist)] [Hungary] [Hungary] [Romans] [Romans];<;SchleK [Byzantines] [Byzantines] [Hungary] [Hungary] [SchleK (page does not exist)];(G1) [Watch VOD] [Watch VOD];Romans;Byzantines;Byzantines;FALSE;Celts;6;1;17%;7,31;Kawasan;;
