Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Arabia;Total matches;37
07/11/2025;16:00 UTC;[Age of Empires II];Through the Ages 2 [Through the Ages/2];MegaRandom [MegaRandom];1v1;TaToH [TaToH] [Spain] [Spain] [Mongols] [Mongols];>;DauT [Byzantines] [Byzantines] [Serbia] [Serbia] [DauT];(G3) [Watch VOD] [Watch VOD];Mongols;Byzantines;Mongols;FALSE;Armenians;0;0;0%;0,00;Arabia;;
14/01/2025;14:00 UTC;[Age of Empires II];Liereyy vs Yo [Liereyy vs Yo];MegaRandom [MegaRandom];1v1;Yo [Yo] [China] [China] [Byzantines] [Byzantines];<;Liereyy [Romans] [Romans] [Austria] [Austria] [Liereyy];(G3) [Watch VOD] [Watch VOD];Byzantines;Romans;Romans;FALSE;Aztecs;0;0;0%;0,00;Arabia;;
12/06/2024;16:00 UTC;[Age of Empires II];Winner Stays On 5 (AoE2) [Winner Stays On/AoE2/5];MegaRandom [MegaRandom];1v1;FreakinAndy [FreakinAndy] [Austria] [Austria] [Byzantines] [Byzantines];>;DauT [Persians] [Persians] [Serbia] [Serbia] [DauT];(G4) [Watch VOD] [Watch VOD];Byzantines;Persians;Byzantines;FALSE;Bengalis;0;0;0%;0,00;Arabia;;
12/06/2024;16:00 UTC;[Age of Empires II];Winner Stays On 4 (AoE2) [Winner Stays On/AoE2/4];MegaRandom [MegaRandom];1v1;FreakinAndy [FreakinAndy] [Austria] [Austria] [Malians] [Malians];<;Capoch [Lithuanians] [Lithuanians] [Argentina] [Argentina] [Capoch];(G2) [Watch VOD] [Watch VOD];Malians;Lithuanians;Lithuanians;FALSE;Berbers;4;1;25%;15,61;Arabia;;
15/05/2024;16:00 UTC;[Age of Empires II];Winner Stays On 1 (AoE2) [Winner Stays On/AoE2/1];MegaRandom [MegaRandom];1v1;Lewis [Lewis] [United Kingdom] [United Kingdom] [Portuguese] [Portuguese];<;Capoch [Lithuanians] [Lithuanians] [Argentina] [Argentina] [Capoch];(G5) [Watch VOD] [Watch VOD];Portuguese;Lithuanians;Lithuanians;FALSE;Bohemians;0;0;0%;0,00;Arabia;;
11/11/2023;16:00 UTC;[Age of Empires II];Vico House Cup II [Vico House Cup/2];MegaRandom [MegaRandom];1v1;Benpat [Benpat (page does not exist)] [France] [France] [Italians] [Italians];>;Nyusika [Portuguese] [Portuguese] [France] [France] [Nyusika];(G1) [Watch VOD] [Watch VOD];Italians;Portuguese;Italians;FALSE;Britons;4;2;50%;60,72;Arabia;;
11/11/2023;13:00 UTC;[Age of Empires II];Vico House Cup II [Vico House Cup/2];MegaRandom [MegaRandom];1v1;Maelstrom23 [Maelstrom23 (page does not exist)] [France] [France] [Italians] [Italians];<;Hadeo [Malay] [Malay] [Morocco] [Morocco] [Hadeo (page does not exist)];(G4) [Watch VOD] [Watch VOD];Italians;Malay;Malay;FALSE;Bulgarians;0;0;0%;0,00;Arabia;;
14/07/2023;23:30 UTC;[Age of Empires II];Biry vs Monoz [Pablito AOE/Biry vs Monoz];MegaRandom [MegaRandom];1v1;Monoz [Monoz] [Argentina] [Argentina] [Lithuanians] [Lithuanians];<;Biry [Britons] [Britons] [Argentina] [Argentina] [Biry];(G6) [Watch VOD] [Watch VOD];Lithuanians;Britons;Britons;FALSE;Burgundians;3;2;67%;71,88;Arabia;;
06/04/2023;19:00 UTC;[Age of Empires II];JorDan's Medieval Brawl Season 2 Finals [JorDan's Medieval Brawl/Season 2/Finals];MegaRandom [MegaRandom];1v1;ACCM [ACCM] [Vietnam] [Vietnam] [Lithuanians] [Lithuanians];<;Hera [Italians] [Italians] [Canada] [Canada] [Hera];(G4) [Watch VOD] [Watch VOD];Lithuanians;Italians;Italians;FALSE;Burmese;1;0;0%;0,00;Arabia;;
06/04/2023;14:00 UTC;[Age of Empires II];JorDan's Medieval Brawl Season 2 Finals [JorDan's Medieval Brawl/Season 2/Finals];MegaRandom [MegaRandom];1v1;ACCM [ACCM] [Vietnam] [Vietnam] [Mongols] [Mongols];>;Yo [Portuguese] [Portuguese] [China] [China] [Yo];(G3) [Watch VOD] [Watch VOD];Mongols;Portuguese;Mongols;FALSE;Byzantines;3;1;33%;32,85;Arabia;;
