Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Skukuza;Total matches;77
01/03/2026;20:30 UTC;[Age of Empires II];La Caída del Estandarte [La Caída del Estandarte];Skukuza [Skukuza];1v1;Nahue05 [Nahuel05] [Argentina] [Argentina] [Lithuanians] [Lithuanians];<;Eskabe [Persians] [Persians] [Argentina] [Argentina] [Eskabe];;Lithuanians;Persians;Persians;FALSE;Armenians;9;2;22%;11,51;Skukuza;;
20/02/2026;23:00 UTC;[Age of Empires II];La Caída del Estandarte [La Caída del Estandarte];Skukuza [Skukuza];1v1;Eskabe [Eskabe] [Argentina] [Argentina] [Lithuanians] [Lithuanians];<;Prisma09 [Chinese] [Chinese] [Argentina] [Argentina] [Prisma09];;Lithuanians;Chinese;Chinese;FALSE;Aztecs;2;1;50%;55,56;Skukuza;;
09/11/2025;11:55 UTC;[Age of Empires II];Danmarksmesterskaberne 2025 [Danmarksmesterskaberne/2025];Skukuza [Skukuza];1v1;Harty [Harty (page does not exist)] [Denmark] [Denmark] [Chinese] [Chinese];<;Flempopo [Mongols] [Mongols] [Denmark] [Denmark] [Flempopo (page does not exist)];;Chinese;Mongols;Mongols;FALSE;Bengalis;0;0;0%;0,00;Skukuza;;
08/11/2025;15:00 UTC;[Age of Empires II];Danmarksmesterskaberne 2025 [Danmarksmesterskaberne/2025];Skukuza [Skukuza];1v1;The Night Panda [The Night Panda (page does not exist)] [Denmark] [Denmark] [Khmer] [Khmer];>;Fredoodle_ [Armenians] [Armenians] [Denmark] [Denmark] [Fredoodle (page does not exist)];;Khmer;Armenians;Khmer;FALSE;Berbers;1;1;100%;64,67;Skukuza;;
25/10/2025;11:15 UTC;[Age of Empires II];Danmarksmesterskaberne 2025 [Danmarksmesterskaberne/2025];Skukuza [Skukuza];1v1;Mauseren [Mauseren (page does not exist)] [Denmark] [Denmark] [Mongols] [Mongols];>;LuNaGaMing [Persians] [Persians] [Denmark] [Denmark] [LuNaGaMing (page does not exist)];;Mongols;Persians;Mongols;FALSE;Bohemians;0;0;0%;0,00;Skukuza;;
23/10/2025;17:00 UTC;[Age of Empires II];Danmarksmesterskaberne 2025 [Danmarksmesterskaberne/2025];Skukuza [Skukuza];1v1;Flempopo [Flempopo (page does not exist)] [Denmark] [Denmark] [Lithuanians] [Lithuanians];<;Good_luck [Goths] [Goths] [Denmark] [Denmark] [Good luck];;Lithuanians;Goths;Goths;FALSE;Britons;1;0;0%;0,00;Skukuza;;
20/10/2025;15:30 UTC;[Age of Empires II];Danmarksmesterskaberne 2025 [Danmarksmesterskaberne/2025];Skukuza [Skukuza];1v1;Harty [Harty (page does not exist)] [Denmark] [Denmark] [Mayans] [Mayans];<;Emil :D [Khmer] [Khmer] [Denmark] [Denmark] [Emil :D];;Mayans;Khmer;Khmer;FALSE;Bulgarians;5;3;60%;65,38;Skukuza;;
15/10/2025;18:55 UTC;[Age of Empires II];Danmarksmesterskaberne 2025 [Danmarksmesterskaberne/2025];Skukuza [Skukuza];1v1;Sandland [Sandland (page does not exist)] [Denmark] [Denmark] [Malay] [Malay];<;Dobbs351 [Celts] [Celts] [Denmark] [Denmark] [Dobbs351];;Malay;Celts;Celts;FALSE;Burgundians;0;0;0%;0,00;Skukuza;;
10/10/2025;18:55 UTC;[Age of Empires II];Danmarksmesterskaberne 2025 [Danmarksmesterskaberne/2025];Skukuza [Skukuza];1v1;The Night Panda [The Night Panda (page does not exist)] [Denmark] [Denmark] [Ethiopians] [Ethiopians];<;Emil :D [Chinese] [Chinese] [Denmark] [Denmark] [Emil :D];;Ethiopians;Chinese;Chinese;FALSE;Burmese;1;0;0%;0,00;Skukuza;;
10/10/2025;18:40 UTC;[Age of Empires II];Danmarksmesterskaberne 2025 [Danmarksmesterskaberne/2025];Skukuza [Skukuza];1v1;Harty [Harty (page does not exist)] [Denmark] [Denmark] [Chinese] [Chinese];>;Quando [Incas] [Incas] [Denmark] [Denmark] [Quando (page does not exist)];;Chinese;Incas;Chinese;FALSE;Byzantines;2;0;0%;0,00;Skukuza;;
