Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Skukuza;Total matches;43
14/09/2025;15:00 UTC;[Age of Empires II];Sudden Dessaster 2 [Sudden Dessaster/2];Skukuza [Skukuza];1v1;FreakinAndy [FreakinAndy] [Austria] [Austria] [Jurchens] [Jurchens];>;Lewis [Khmer] [Khmer] [United Kingdom] [United Kingdom] [Lewis];(G2) [Watch VOD] [Watch VOD];Jurchens;Khmer;Jurchens;FALSE;Armenians;5;2;40%;52,48;Skukuza;;
13/09/2025;15:00 UTC;[Age of Empires II];Sudden Dessaster 2 [Sudden Dessaster/2];Skukuza [Skukuza];1v1;FreakinAndy [FreakinAndy] [Austria] [Austria] [Mongols] [Mongols];>;Sora Kuma [Khitans] [Khitans] [Taiwan] [Taiwan] [Sora Kuma];(G3) [Watch VOD] [Watch VOD];Mongols;Khitans;Mongols;FALSE;Aztecs;0;0;0%;0,00;Skukuza;;
11/09/2025;16:00 UTC;[Age of Empires II];Sudden Dessaster 2 [Sudden Dessaster/2];Skukuza [Skukuza];1v1;classicpro [Classicpro] [Ukraine] [Ukraine] [Japanese] [Japanese];<;Sora Kuma [Armenians] [Armenians] [Taiwan] [Taiwan] [Sora Kuma];(G4) [Watch VOD] [Watch VOD];Japanese;Armenians;Armenians;FALSE;Bengalis;0;0;0%;0,00;Skukuza;;
07/09/2025;18:30 UTC;[Age of Empires II];Sudden Dessaster 2 [Sudden Dessaster/2];Skukuza [Skukuza];1v1;classicpro [Classicpro] [Ukraine] [Ukraine] [Chinese] [Chinese];<;Nicov [Jurchens] [Jurchens] [Argentina] [Argentina] [Nicov];(G1) [Watch VOD] [Watch VOD];Chinese;Jurchens;Jurchens;FALSE;Berbers;1;1;100%;72,75;Skukuza;;
07/09/2025;16:00 UTC;[Age of Empires II];Sudden Dessaster 2 [Sudden Dessaster/2];Skukuza [Skukuza];1v1;Lewis [Lewis] [United Kingdom] [United Kingdom] [Georgians] [Georgians];<;Barles [Mongols] [Mongols] [Poland] [Poland] [Barles];(G3) [Watch VOD] [Watch VOD];Georgians;Mongols;Mongols;FALSE;Bohemians;0;0;0%;0,00;Skukuza;;
06/09/2025;16:00 UTC;[Age of Empires II];Sudden Dessaster 2 [Sudden Dessaster/2];Skukuza [Skukuza];1v1;Capoch [Capoch] [Argentina] [Argentina] [Japanese] [Japanese];<;Yo [Khmer] [Khmer] [China] [China] [Yo];(G2) [Watch VOD] [Watch VOD];Japanese;Khmer;Khmer;FALSE;Britons;1;0;0%;0,00;Skukuza;;
05/09/2025;18:00 UTC;[Age of Empires II];Sudden Dessaster 2 [Sudden Dessaster/2];Skukuza [Skukuza];1v1;Kingstone [KingstoNe] [Mexico] [Mexico] [Khmer] [Khmer];<;Hearttt [Georgians] [Georgians] [Peru] [Peru] [Hearttt];(G3) [Watch VOD] [Watch VOD];Khmer;Georgians;Georgians;FALSE;Bulgarians;3;2;67%;70,48;Skukuza;;
29/08/2025;19:00 UTC;[Age of Empires II];Sudden Dessaster 2 [Sudden Dessaster/2];Skukuza [Skukuza];1v1;Kingstone [KingstoNe] [Mexico] [Mexico] [Lithuanians] [Lithuanians];>;Sitaux [Khmer] [Khmer] [France] [France] [Sitaux];(G3) [Watch VOD] [Watch VOD];Lithuanians;Khmer;Lithuanians;FALSE;Burgundians;0;0;0%;0,00;Skukuza;;
29/08/2025;18:00 UTC;[Age of Empires II];Sudden Dessaster 2 [Sudden Dessaster/2];Skukuza [Skukuza];1v1;StonePleaseAoE [StonePleaseAoE] [Germany] [Germany] [Incas] [Incas];>;FreakinAndy [Georgians] [Georgians] [Austria] [Austria] [FreakinAndy];(G3) [Watch VOD] [Watch VOD];Incas;Georgians;Incas;FALSE;Burmese;1;0;0%;0,00;Skukuza;;
29/08/2025;15:30 UTC;[Age of Empires II];Sudden Dessaster 2 [Sudden Dessaster/2];Skukuza [Skukuza];1v1;IBUYPOWER [IBUYPOWER] [China] [China] [Britons] [Britons];<;Hearttt [Japanese] [Japanese] [Peru] [Peru] [Hearttt];(G2) [Watch VOD] [Watch VOD];Britons;Japanese;Japanese;FALSE;Byzantines;1;0;0%;0,00;Skukuza;;
