Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Strandred;Total matches;258
09/03/2026;18:00 UTC;[Age of Empires II];T90 Titans League 5: Platinum League [T90 Titans League/5/Platinum League];Stranded (2020) [Stranded (2020)];1v1;TheViper [TheViper] [Norway] [Norway] [Wei] [Wei];<;Sitaux [Mayans] [Mayans] [France] [France] [Sitaux];;Wei;Mayans;Mayans;FALSE;Armenians;18;6;33%;33,03;Strandred;;
07/03/2026;17:45 UTC;[Age of Empires II];T90 Titans League 5: Platinum League [T90 Titans League/5/Platinum League];Stranded (2020) [Stranded (2020)];1v1;Running [Running] [Germany] [Germany] [Romans] [Romans];<;FreakinAndy [Wu] [Wu] [Austria] [Austria] [FreakinAndy];;Romans;Wu;Wu;FALSE;Aztecs;5;2;40%;51,63;Strandred;;
06/03/2026;20:00 UTC;[Age of Empires II];T90 Titans League 5: Platinum League [T90 Titans League/5/Platinum League];Stranded (2020) [Stranded (2020)];1v1;Ciskhan [Ciskhan] [France] [France] [Vikings] [Vikings];>;Hera [Italians] [Italians] [Canada] [Canada] [Hera];(G2) [Watch VOD] [Watch VOD];Vikings;Italians;Vikings;FALSE;Bengalis;12;4;33%;33,53;Strandred;;
02/03/2026;20:30 UTC;[Age of Empires II];T90 Titans League 5: Gold League [T90 Titans League/5/Gold League];Stranded (2020) [Stranded (2020)];1v1;Kasva [Kasva] [Turkey] [Turkey] [Koreans] [Koreans];<;dogao [Portuguese] [Portuguese] [Brazil] [Brazil] [Dogao];(G3) [Watch VOD] [Watch VOD];Koreans;Portuguese;Portuguese;FALSE;Berbers;5;5;100%;69,95;Strandred;;
02/03/2026;16:00 UTC;[Age of Empires II];T90 Titans League 5: Gold League [T90 Titans League/5/Gold League];Stranded (2020) [Stranded (2020)];1v1;Villese [Villese] [Finland] [Finland] [Dravidians] [Dravidians];<;DauT [Wu] [Wu] [Serbia] [Serbia] [DauT];(G3) [Watch VOD] [Watch VOD];Dravidians;Wu;Wu;FALSE;Bohemians;0;0;0%;0,00;Strandred;;
28/02/2026;18:30 UTC;[Age of Empires II];T90 Titans League 5: Gold League [T90 Titans League/5/Gold League];Stranded (2020) [Stranded (2020)];1v1;Margougou [Margougou] [France] [France] [Malians] [Malians];>;StonePleaseAoE [Romans] [Romans] [Germany] [Germany] [StonePleaseAoE];(G1) [Watch VOD] [Watch VOD];Malians;Romans;Malians;FALSE;Britons;3;0;0%;0,00;Strandred;;
26/02/2026;19:50 UTC;[Age of Empires II];T90 Titans League 5: Gold League [T90 Titans League/5/Gold League];Stranded (2020) [Stranded (2020)];1v1;miguel [Miguel] [Brazil] [Brazil] [Georgians] [Georgians];<;Valas [Dravidians] [Dravidians] [Finland] [Finland] [Valas];(G3) [Watch VOD] [Watch VOD];Georgians;Dravidians;Dravidians;FALSE;Bulgarians;0;0;0%;0,00;Strandred;;
26/02/2026;16:00 UTC;[Age of Empires II];T90 Titans League 5: Gold League [T90 Titans League/5/Gold League];Stranded (2020) [Stranded (2020)];1v1;wide [Wide] [Russia] [Russia] [Muisca] [Muisca];>;Overtaken [Dravidians] [Dravidians] [Estonia] [Estonia] [Overtaken];(G1) [Watch VOD] [Watch VOD];Muisca;Dravidians;Muisca;FALSE;Burgundians;0;0;0%;0,00;Strandred;;
23/02/2026;23:00 UTC;[Age of Empires II];T90 Titans League 5: Platinum League [T90 Titans League/5/Platinum League];Stranded (2020) [Stranded (2020)];1v1;Hearttt [Hearttt] [Peru] [Peru] [Vikings] [Vikings];<;Hera [Italians] [Italians] [Canada] [Canada] [Hera];(G3) [Watch VOD] [Watch VOD];Vikings;Italians;Italians;FALSE;Burmese;1;1;100%;55,12;Strandred;;
21/02/2026;19:15 UTC;[Age of Empires II];T90 Titans League 5: Platinum League [T90 Titans League/5/Platinum League];Stranded (2020) [Stranded (2020)];1v1;Lucho [Lucho] [Argentina] [Argentina] [Italians] [Italians];<;Ciskhan [Dravidians] [Dravidians] [France] [France] [Ciskhan];(G1) [Watch VOD] [Watch VOD];Italians;Dravidians;Dravidians;FALSE;Byzantines;2;1;50%;52,49;Strandred;;
