Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Strandred;Total matches;110
06/03/2026;20:00 UTC;[Age of Empires II];T90 Titans League 5: Platinum League [T90 Titans League/5/Platinum League];Stranded (2020) [Stranded (2020)];1v1;Ciskhan [Ciskhan] [France] [France] [Vikings] [Vikings];>;Hera [Italians] [Italians] [Canada] [Canada] [Hera];(G2) [Watch VOD] [Watch VOD];Vikings;Italians;Vikings;FALSE;Armenians;5;1;0%;0,00;Strandred;;
02/03/2026;20:30 UTC;[Age of Empires II];T90 Titans League 5: Gold League [T90 Titans League/5/Gold League];Stranded (2020) [Stranded (2020)];1v1;Kasva [Kasva] [Turkey] [Turkey] [Koreans] [Koreans];<;dogao [Portuguese] [Portuguese] [Brazil] [Brazil] [Dogao];(G3) [Watch VOD] [Watch VOD];Koreans;Portuguese;Portuguese;FALSE;Aztecs;3;2;0%;0,00;Strandred;;
02/03/2026;16:00 UTC;[Age of Empires II];T90 Titans League 5: Gold League [T90 Titans League/5/Gold League];Stranded (2020) [Stranded (2020)];1v1;Villese [Villese] [Finland] [Finland] [Dravidians] [Dravidians];<;DauT [Wu] [Wu] [Serbia] [Serbia] [DauT];(G3) [Watch VOD] [Watch VOD];Dravidians;Wu;Wu;FALSE;Bengalis;3;1;50%;49,16;Strandred;;
28/02/2026;18:30 UTC;[Age of Empires II];T90 Titans League 5: Gold League [T90 Titans League/5/Gold League];Stranded (2020) [Stranded (2020)];1v1;Margougou [Margougou] [France] [France] [Malians] [Malians];>;StonePleaseAoE [Romans] [Romans] [Germany] [Germany] [StonePleaseAoE];(G1) [Watch VOD] [Watch VOD];Malians;Romans;Malians;FALSE;Berbers;1;1;0%;0,00;Strandred;;
26/02/2026;19:50 UTC;[Age of Empires II];T90 Titans League 5: Gold League [T90 Titans League/5/Gold League];Stranded (2020) [Stranded (2020)];1v1;miguel [Miguel] [Brazil] [Brazil] [Georgians] [Georgians];<;Valas [Dravidians] [Dravidians] [Finland] [Finland] [Valas];(G3) [Watch VOD] [Watch VOD];Georgians;Dravidians;Dravidians;FALSE;Bohemians;0;0;0%;0,00;Strandred;;
26/02/2026;16:00 UTC;[Age of Empires II];T90 Titans League 5: Gold League [T90 Titans League/5/Gold League];Stranded (2020) [Stranded (2020)];1v1;wide [Wide] [Russia] [Russia] [Muisca] [Muisca];>;Overtaken [Dravidians] [Dravidians] [Estonia] [Estonia] [Overtaken];(G1) [Watch VOD] [Watch VOD];Muisca;Dravidians;Muisca;FALSE;Britons;1;0;0%;0,00;Strandred;;
23/02/2026;23:00 UTC;[Age of Empires II];T90 Titans League 5: Platinum League [T90 Titans League/5/Platinum League];Stranded (2020) [Stranded (2020)];1v1;Hearttt [Hearttt] [Peru] [Peru] [Vikings] [Vikings];<;Hera [Italians] [Italians] [Canada] [Canada] [Hera];(G3) [Watch VOD] [Watch VOD];Vikings;Italians;Italians;FALSE;Bulgarians;0;0;0%;0,00;Strandred;;
21/02/2026;19:15 UTC;[Age of Empires II];T90 Titans League 5: Platinum League [T90 Titans League/5/Platinum League];Stranded (2020) [Stranded (2020)];1v1;Lucho [Lucho] [Argentina] [Argentina] [Italians] [Italians];<;Ciskhan [Dravidians] [Dravidians] [France] [France] [Ciskhan];(G1) [Watch VOD] [Watch VOD];Italians;Dravidians;Dravidians;FALSE;Burgundians;0;0;0%;0,00;Strandred;;
20/02/2026;17:45 UTC;[Age of Empires II];T90 Titans League 5: Platinum League [T90 Titans League/5/Platinum League];Stranded (2020) [Stranded (2020)];1v1;TaToH [TaToH] [Spain] [Spain] [Huns] [Huns];<;Liereyy [Italians] [Italians] [Austria] [Austria] [Liereyy];(G2) [Watch VOD] [Watch VOD];Huns;Italians;Italians;FALSE;Burmese;0;0;0%;0,00;Strandred;;
20/02/2026;16:00 UTC;[Age of Empires II];T90 Titans League 5: Platinum League [T90 Titans League/5/Platinum League];Stranded (2020) [Stranded (2020)];1v1;Running [Running] [Germany] [Germany] [Lithuanians] [Lithuanians];<;Lewis [Persians] [Persians] [United Kingdom] [United Kingdom] [Lewis];(G1) [Watch VOD] [Watch VOD];Lithuanians;Persians;Persians;FALSE;Byzantines;1;0;0%;0,00;Strandred;;
