Mapa;Mi_Civ;Civ_Rival;Partidas;Victorias;Win_Rate
African_Clearing;armenians;armenians;18;9;0,5
African_Clearing;armenians;aztecs;16;10;0,625
African_Clearing;armenians;bengalis;13;6;0,46153846153846156
African_Clearing;armenians;berbers;18;8;0,4444444444444444
African_Clearing;armenians;bohemians;11;6;0,5454545454545454
African_Clearing;armenians;britons;10;2;0,2
African_Clearing;armenians;bulgarians;16;9;0,5625
African_Clearing;armenians;burgundians;11;5;0,45454545454545453
African_Clearing;armenians;burmese;6;1;0,16666666666666666
African_Clearing;armenians;byzantines;16;7;0,4375
African_Clearing;armenians;celts;13;9;0,6923076923076923
African_Clearing;armenians;chinese;36;13;0,3611111111111111
African_Clearing;armenians;cumans;16;9;0,5625
African_Clearing;armenians;dravidians;10;4;0,4
African_Clearing;armenians;ethiopians;10;4;0,4
African_Clearing;armenians;franks;18;10;0,5555555555555556
African_Clearing;armenians;georgians;15;6;0,4
African_Clearing;armenians;goths;14;5;0,35714285714285715
African_Clearing;armenians;gurjaras;14;9;0,6428571428571429
African_Clearing;armenians;hindustanis;17;7;0,4117647058823529
African_Clearing;armenians;huns;64;19;0,296875
African_Clearing;armenians;incas;12;6;0,5
African_Clearing;armenians;italians;12;7;0,5833333333333334
African_Clearing;armenians;japanese;21;14;0,6666666666666666
African_Clearing;armenians;khitans;2;0;0,0
African_Clearing;armenians;khmer;22;11;0,5
African_Clearing;armenians;koreans;12;6;0,5
African_Clearing;armenians;lithuanians;17;10;0,5882352941176471
African_Clearing;armenians;magyars;22;11;0,5
African_Clearing;armenians;malay;15;7;0,4666666666666667
African_Clearing;armenians;malians;18;10;0,5555555555555556
African_Clearing;armenians;mayans;17;5;0,29411764705882354
African_Clearing;armenians;mongols;56;19;0,3392857142857143
African_Clearing;armenians;persians;23;10;0,43478260869565216
African_Clearing;armenians;poles;9;5;0,5555555555555556
African_Clearing;armenians;portuguese;13;8;0,6153846153846154
African_Clearing;armenians;romans;7;5;0,7142857142857143
African_Clearing;armenians;saracens;14;10;0,7142857142857143
African_Clearing;armenians;shu;3;0;0,0
African_Clearing;armenians;sicilians;4;3;0,75
African_Clearing;armenians;slavs;14;5;0,35714285714285715
African_Clearing;armenians;spanish;35;15;0,42857142857142855
African_Clearing;armenians;tatars;17;6;0,35294117647058826
African_Clearing;armenians;teutons;10;7;0,7
African_Clearing;armenians;turks;14;6;0,42857142857142855
African_Clearing;armenians;vietnamese;18;8;0,4444444444444444
African_Clearing;armenians;vikings;7;4;0,5714285714285714
African_Clearing;armenians;wei;8;2;0,25
African_Clearing;armenians;wu;3;1;0,3333333333333333
African_Clearing;aztecs;armenians;16;6;0,375
African_Clearing;aztecs;aztecs;12;6;0,5
African_Clearing;aztecs;bengalis;13;8;0,6153846153846154
African_Clearing;aztecs;berbers;27;11;0,4074074074074074
African_Clearing;aztecs;bohemians;16;8;0,5
African_Clearing;aztecs;britons;14;9;0,6428571428571429
African_Clearing;aztecs;bulgarians;12;7;0,5833333333333334
African_Clearing;aztecs;burgundians;20;10;0,5
African_Clearing;aztecs;burmese;12;3;0,25
African_Clearing;aztecs;byzantines;12;7;0,5833333333333334
African_Clearing;aztecs;celts;19;10;0,5263157894736842
African_Clearing;aztecs;chinese;37;8;0,21621621621621623
African_Clearing;aztecs;cumans;20;7;0,35
African_Clearing;aztecs;dravidians;11;6;0,5454545454545454
African_Clearing;aztecs;ethiopians;12;7;0,5833333333333334
African_Clearing;aztecs;franks;14;7;0,5
African_Clearing;aztecs;georgians;20;8;0,4
African_Clearing;aztecs;goths;22;11;0,5
African_Clearing;aztecs;gurjaras;19;9;0,47368421052631576
African_Clearing;aztecs;hindustanis;21;6;0,2857142857142857
African_Clearing;aztecs;huns;52;13;0,25
African_Clearing;aztecs;incas;17;7;0,4117647058823529
African_Clearing;aztecs;italians;15;6;0,4
African_Clearing;aztecs;japanese;15;9;0,6
African_Clearing;aztecs;jurchens;1;0;0,0
African_Clearing;aztecs;khmer;22;12;0,5454545454545454
African_Clearing;aztecs;koreans;25;13;0,52
African_Clearing;aztecs;lithuanians;18;12;0,6666666666666666
African_Clearing;aztecs;magyars;23;5;0,21739130434782608
African_Clearing;aztecs;malay;17;9;0,5294117647058824
African_Clearing;aztecs;malians;13;3;0,23076923076923078
African_Clearing;aztecs;mayans;19;10;0,5263157894736842
African_Clearing;aztecs;mongols;48;21;0,4375
African_Clearing;aztecs;persians;22;14;0,6363636363636364
African_Clearing;aztecs;poles;20;7;0,35
African_Clearing;aztecs;portuguese;21;13;0,6190476190476191
African_Clearing;aztecs;romans;13;7;0,5384615384615384
